tau,noise_std,accuracy,misclassified
1e-12,0.0,0.7168571428571429,5946
1e-12,0.05,0.11042857142857143,18681
1e-12,0.1,0.115,18585
1e-12,0.2,0.10666666666666667,18760
1e-12,0.3,0.10152380952380953,18868
1e-10,0.0,0.9152857142857143,1779
1e-10,0.05,0.43638095238095237,11836
1e-10,0.1,0.2533809523809524,15679
1e-10,0.2,0.16171428571428573,17604
1e-10,0.3,0.13223809523809524,18223
1e-08,0.0,0.9153333333333333,1778
1e-08,0.05,0.6547619047619048,7250
1e-08,0.1,0.4005714285714286,12588
1e-08,0.2,0.2164761904761905,16454
1e-08,0.3,0.1599047619047619,17642
1e-06,0.0,0.9164285714285715,1755
1e-06,0.05,0.831047619047619,3548
1e-06,0.1,0.5899047619047619,8612
1e-06,0.2,0.3433333333333333,13790
1e-06,0.3,0.2322857142857143,16122
0.0001,0.0,0.9175238095238095,1732
0.0001,0.05,0.8997142857142857,2106
0.0001,0.1,0.8144285714285714,3897
0.0001,0.2,0.5341904761904762,9782
0.0001,0.3,0.3884285714285714,12843
