tau,sigma,accuracy,misclassified
1e-12,0.0,0.7168571428571429,5946
1e-12,0.5,0.6341428571428571,7683
1e-12,1.0,0.2866190476190476,14981
1e-12,1.5,0.15657142857142858,17712
1e-12,2.0,0.116,18564
1e-10,0.0,0.9152857142857143,1779
1e-10,0.5,0.9166666666666666,1750
1e-10,1.0,0.8963809523809524,2176
1e-10,1.5,0.7894761904761904,4421
1e-10,2.0,0.5836666666666667,8743
1e-08,0.0,0.9153333333333333,1778
1e-08,0.5,0.9169047619047619,1745
1e-08,1.0,0.8974761904761904,2153
1e-08,1.5,0.7949047619047619,4307
1e-08,2.0,0.5930952380952381,8545
1e-06,0.0,0.9164285714285715,1754
1e-06,0.5,0.9174761904761904,1733
1e-06,1.0,0.8987142857142857,2127
1e-06,1.5,0.7973809523809524,4254
1e-06,2.0,0.6025238095238096,8346
0.0001,0.0,0.9175238095238095,1732
0.0001,0.5,0.9184761904761904,1712
0.0001,1.0,0.9005714285714286,2088
0.0001,1.5,0.8043333333333333,4109
0.0001,2.0,0.6286190476190476,7799
