tau,param_key,amplitude,frequency,accuracy,misclassified
1e-12,0_0,0,0,0.7168571428571429,5946
1e-12,1_2,1,2,0.6903333333333334,6503
1e-12,2_2,2,2,0.6358571428571429,7647
1e-12,3_2,3,2,0.5342380952380953,9781
1e-12,2_4,2,4,0.6311428571428571,7746
1e-10,0_0,0,0,0.9152857142857143,1779
1e-10,1_2,1,2,0.8710476190476191,2708
1e-10,2_2,2,2,0.7052857142857143,6189
1e-10,3_2,3,2,0.5053333333333333,10388
1e-10,2_4,2,4,0.7792857142857142,4635
1e-08,0_0,0,0,0.9153333333333333,1778
1e-08,1_2,1,2,0.8713809523809524,2701
1e-08,2_2,2,2,0.7062857142857143,6168
1e-08,3_2,3,2,0.5085238095238095,10321
1e-08,2_4,2,4,0.7796190476190477,4628
1e-06,0_0,0,0,0.9164285714285715,1755
1e-06,1_2,1,2,0.8724285714285714,2679
1e-06,2_2,2,2,0.7096666666666667,6097
1e-06,3_2,3,2,0.5155238095238095,10174
1e-06,2_4,2,4,0.7872857142857143,4467
0.0001,0_0,0,0,0.9175238095238095,1732
0.0001,1_2,1,2,0.8735238095238095,2656
0.0001,2_2,2,2,0.7153333333333334,5978
0.0001,3_2,3,2,0.5252857142857142,9969
0.0001,2_4,2,4,0.8003809523809524,4192
